5353,2013-06-28,2013-06-28,24,Fairbanks Ct & Grand Ave,15
5354,2013-06-28,2013-06-28,48,Larrabee St & Kingsbury St,25
5355,2013-06-28,2013-06-28,48,Larrabee St & Kingsbury St,25
5357,2013-06-28,2013-06-28,51,Clark St & Randolph St,27
5363,2013-06-28,2013-06-28,32,Racine Ave & Congress Pkwy,13
5370,2013-06-28,2013-06-28,88,May St & Randolph St,30
5372,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,55
5374,2013-06-28,2013-06-28,54,Ogden Ave & Chicago Ave,27
5378,2013-06-28,2013-06-28,341,Adler Planetarium,29
5380,2013-06-28,2013-06-28,30,Ashland Ave & Augusta Blvd,17
5381,2013-06-28,2013-06-28,30,Ashland Ave & Augusta Blvd,12
5383,2013-06-28,2013-06-28,127,Lincoln Ave & Fullerton Ave,24
5384,2013-06-28,2013-06-28,164,Franklin St & Lake St,59
5393,2013-06-28,2013-06-28,279,Halsted St & 35th St,23
5403,2013-06-28,2013-06-28,350,Ashland Ave & Chicago Ave,22
5406,2013-06-28,2013-06-28,19,Loomis St & Taylor St,5
5408,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,32
5409,2013-06-28,2013-06-28,37,Dearborn St & Adams St,24
5410,2013-06-28,2013-06-28,73,Jefferson St & Monroe St,13
5412,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,13
5417,2013-06-28,2013-06-28,72,State St & 16th St,35
5419,2013-06-28,2013-06-28,24,Fairbanks Ct & Grand Ave,58
5421,2013-06-28,2013-06-28,21,Aberdeen St & Jackson Blvd,25
5423,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,31
5433,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,20
5443,2013-06-28,2013-06-28,28,Larrabee St & Menomonee St,26
5455,2013-06-28,2013-06-28,55,Halsted St & James M Rochford St,2
5462,2013-06-28,2013-06-28,29,Noble St & Milwaukee Ave,15
5463,2013-06-28,2013-06-28,252,Greenwood Ave & 47th St,36
5466,2013-06-28,2013-06-28,91,Clinton St & Washington Blvd,36
5468,2013-06-28,2013-06-28,34,Cannon Dr & Fullerton Ave,25
5470,2013-06-28,2013-06-28,311,Lincoln Ave & Eastwood Ave,25
5471,2013-06-28,2013-06-28,67,Sheffield Ave & Fullerton Ave,9
5477,2013-06-28,2013-06-28,59,Wabash Ave & Roosevelt Rd,40
5486,2013-06-28,2013-06-28,59,Wabash Ave & Roosevelt Rd,36
5499,2013-06-28,2013-06-28,24,Fairbanks Ct & Grand Ave,16
5503,2013-06-28,2013-06-28,232,Pine Grove Ave & Addison St,15
5510,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,23
5518,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,23
5534,2013-06-28,2013-06-28,60,Dayton St & North Ave,17
5552,2013-06-28,2013-06-28,74,Kingsbury St & Erie St,20
5566,2013-06-28,2013-06-28,30,Ashland Ave & Augusta Blvd,25
5567,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,28
5574,2013-06-28,2013-06-28,66,Clinton St & Lake St,12
5584,2013-06-28,2013-06-28,22,May St & Taylor St,20
5589,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,19
5590,2013-06-28,2013-06-28,30,Ashland Ave & Augusta Blvd,23
5599,2013-06-28,2013-06-28,66,Clinton St & Lake St,6
5612,2013-06-28,2013-06-28,31,Franklin St & Chicago Ave,12
5614,2013-06-28,2013-06-28,31,Franklin St & Chicago Ave,12
5624,2013-06-28,2013-06-28,17,Wood St & Division St,21
5625,2013-06-28,2013-06-28,17,Wood St & Division St,21
5652,2013-06-28,2013-06-28,62,McCormick Place,8
5654,2013-06-28,2013-06-28,62,McCormick Place,9
5661,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,46
5664,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,46
5679,2013-06-28,2013-06-28,90,Millennium Park,26
5682,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,51
5685,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,50
5690,2013-06-28,2013-06-28,44,State St & Randolph St,16
5697,2013-06-28,2013-06-28,90,Millennium Park,37
5699,2013-06-28,2013-06-28,60,Dayton St & North Ave,10
5702,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,35
5703,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,34
5704,2013-06-28,2013-06-28,90,Millennium Park,34
5705,2013-06-28,2013-06-28,48,Larrabee St & Kingsbury St,15
5706,2013-06-28,2013-06-28,90,Millennium Park,34
5712,2013-06-28,2013-06-28,90,Millennium Park,53
5713,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,34
5716,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,23
5746,2013-06-28,2013-06-28,90,Millennium Park,24
5782,2013-06-28,2013-06-28,45,Michigan Ave & Congress Pkwy,21
5783,2013-06-28,2013-06-28,37,Dearborn St & Adams St,11
5802,2013-06-28,2013-06-28,42,Wabash Ave & Cermak Rd,52
5805,2013-06-28,2013-06-28,90,Millennium Park,19
5806,2013-06-28,2013-06-28,45,Michigan Ave & Congress Pkwy,39
5807,2013-06-28,2013-06-28,90,Millennium Park,26
5808,2013-06-28,2013-06-28,45,Michigan Ave & Congress Pkwy,38
5810,2013-06-28,2013-06-28,51,Clark St & Randolph St,15
5822,2013-06-28,2013-06-28,90,Millennium Park,48
5823,2013-06-28,2013-06-28,45,Michigan Ave & Congress Pkwy,17
5824,2013-06-28,2013-06-28,90,Millennium Park,37
5826,2013-06-28,2013-06-28,90,Millennium Park,37
5840,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,30
5850,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,4
5853,2013-06-28,2013-06-28,90,Millennium Park,25
5857,2013-06-28,2013-06-28,77,Clinton St & Madison St,7
5858,2013-06-28,2013-06-28,51,Clark St & Randolph St,20
5860,2013-06-28,2013-06-28,42,Wabash Ave & Cermak Rd,39
5871,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,5
5876,2013-06-28,2013-06-28,51,Clark St & Randolph St,11
5880,2013-06-28,2013-06-28,24,Fairbanks Ct & Grand Ave,13
5883,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,23
5897,2013-06-28,2013-06-28,54,Ogden Ave & Chicago Ave,4
5903,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,24
5906,2013-06-28,2013-06-28,60,Dayton St & North Ave,9
5910,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,5
5911,2013-06-28,2013-06-28,90,Millennium Park,34
5912,2013-06-28,2013-06-28,90,Millennium Park,33
5914,2013-06-28,2013-06-28,73,Jefferson St & Monroe St,40
5917,2013-06-28,2013-06-28,77,Clinton St & Madison St,34
5919,2013-06-28,2013-06-28,341,Adler Planetarium,33
5920,2013-06-28,2013-06-28,5,State St & Harrison St,6
5921,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,29
5922,2013-06-28,2013-06-28,127,Lincoln Ave & Fullerton Ave,29
5923,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,8
5924,2013-06-28,2013-06-28,51,Clark St & Randolph St,11
5928,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,17
5929,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,7
5931,2013-06-28,2013-06-28,62,McCormick Place,38
5932,2013-06-28,2013-06-28,62,McCormick Place,37
5934,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,18
5935,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,28
5937,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,5
5938,2013-06-28,2013-06-28,5,State St & Harrison St,20
5942,2013-06-28,2013-06-28,45,Michigan Ave & Congress Pkwy,22
5946,2013-06-28,2013-06-28,90,Millennium Park,23
5948,2013-06-28,2013-06-28,90,Millennium Park,25
5949,2013-06-28,2013-06-28,90,Millennium Park,23
5950,2013-06-28,2013-06-28,37,Dearborn St & Adams St,14
5958,2013-06-28,2013-06-28,5,State St & Harrison St,15
5959,2013-06-28,2013-06-28,340,Clark St & Wrightwood Ave,40
5960,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,12
5961,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,46
5962,2013-06-28,2013-06-28,54,Ogden Ave & Chicago Ave,35
5970,2013-06-28,2013-06-28,5,State St & Harrison St,11
5978,2013-06-28,2013-06-28,84,Green St & Milwaukee Ave,30
5992,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,36
6001,2013-06-28,2013-06-28,21,Aberdeen St & Jackson Blvd,26
6003,2013-06-28,2013-06-28,279,Halsted St & 35th St,27
6010,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,17
6014,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,33
6021,2013-06-28,2013-06-28,349,Halsted St & Wrightwood Ave,26
6026,2013-06-28,2013-06-28,44,State St & Randolph St,19
6028,2013-06-28,2013-06-28,24,Fairbanks Ct & Grand Ave,43
6030,2013-06-28,2013-06-28,31,Franklin St & Chicago Ave,12
6059,2013-06-28,2013-06-28,45,Michigan Ave & Congress Pkwy,54
6062,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,44
6063,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,58
6067,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,44
6068,2013-06-28,2013-06-28,72,State St & 16th St,19
6069,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,43
6083,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,37
6084,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,37
6114,2013-06-28,2013-06-28,76,Lake Shore Dr & Monroe St,34
6121,2013-06-28,2013-06-29,76,Lake Shore Dr & Monroe St,22
6122,2013-06-28,2013-06-29,76,Lake Shore Dr & Monroe St,35
6131,2013-06-28,2013-06-28,190,Southport Ave & Wrightwood Ave,27
6136,2013-06-28,2013-06-28,28,Larrabee St & Menomonee St,25
6139,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,9
6141,2013-06-28,2013-06-28,28,Larrabee St & Menomonee St,23
6143,2013-06-28,2013-06-28,22,May St & Taylor St,26
6171,2013-06-28,2013-06-28,17,Wood St & Division St,29
6178,2013-06-28,2013-06-28,17,Wood St & Division St,28
6204,2013-06-28,2013-06-28,37,Dearborn St & Adams St,26
6218,2013-06-28,2013-06-28,37,Dearborn St & Adams St,5
6238,2013-06-28,2013-06-28,17,Wood St & Division St,58
6250,2013-06-28,2013-06-28,67,Sheffield Ave & Fullerton Ave,30
6253,2013-06-28,2013-06-28,88,May St & Randolph St,50
6256,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,11
6258,2013-06-28,2013-06-28,61,Wood St & Milwaukee Ave,10
6263,2013-06-28,2013-06-28,44,State St & Randolph St,46
6264,2013-06-28,2013-06-28,20,Sheffield Ave & Kingsbury St,19
6273,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,16
6274,2013-06-28,2013-06-28,44,State St & Randolph St,42
6503,2013-06-28,2013-06-28,24,Fairbanks Ct & Grand Ave,16
6281,2013-06-28,2013-06-28,28,Larrabee St & Menomonee St,24
6283,2013-06-28,2013-06-28,28,Larrabee St & Menomonee St,24
6286,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,58
6294,2013-06-28,2013-06-28,44,State St & Randolph St,19
6295,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,30
6296,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,30
6298,2013-06-28,2013-06-28,59,Wabash Ave & Roosevelt Rd,28
6300,2013-06-28,2013-06-28,59,Wabash Ave & Roosevelt Rd,27
6302,2013-06-28,2013-06-28,90,Millennium Park,19
6303,2013-06-28,2013-06-28,36,Franklin St & Jackson Blvd,28
6310,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,26
6319,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,24
6323,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,22
6330,2013-06-28,2013-06-28,59,Wabash Ave & Roosevelt Rd,16
6336,2013-06-28,2013-06-28,75,Canal St & Jackson Blvd,35
6338,2013-06-28,2013-06-28,85,Michigan Ave & Oak St,24
6345,2013-06-28,2013-06-28,25,Michigan Ave & Pearson St,38
6350,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,32
6352,2013-06-28,2013-06-28,73,Jefferson St & Monroe St,7
6353,2013-06-28,2013-06-28,62,McCormick Place,4
6354,2013-06-28,2013-06-28,20,Sheffield Ave & Kingsbury St,11
6355,2013-06-28,2013-06-28,26,McClurg Ct & Illinois St,31
6356,2013-06-28,2013-06-28,97,Museum Campus,23
6357,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,22
6361,2013-06-28,2013-06-28,62,McCormick Place,22
6362,2013-06-28,2013-06-28,341,Adler Planetarium,30
6363,2013-06-28,2013-06-28,74,Kingsbury St & Erie St,9
6368,2013-06-28,2013-06-28,57,Clinton St & Roosevelt Rd,12
6373,2013-06-28,2013-06-28,51,Clark St & Randolph St,29
6393,2013-06-28,2013-06-28,51,Clark St & Randolph St,26
6408,2013-06-28,2013-06-28,90,Millennium Park,27
6409,2013-06-28,2013-06-28,51,Clark St & Randolph St,29
